vangelo	Alleluja La nostra festa	1Dcs-ywqXSiHLUY7iZ9csQq4uVHb74ZJCQV33QTCtSdg
vangelo	Alleluja Lode cosmica	19WeMX1ou84CxU4SQNfEwjxi-2lLls9pCb_l4OVbXxP4
vangelo	Alleluja Oggi è nato	1gD3m24xJIyiiENA3ME2ahiSMLQNbRBU7clBM6xDd_Us
vangelo	Alleluja Pasquale	18QhuhSz8W3kdAeKdRQ2X1g5AyU7DRNdI2Ti6d4lh-wk
vangelo	Alleluja Tutto il mondo	1MvsehbnppFFUGOtVldpwzh8GRZ4WInES83_rbLvJNNA
vangelo	Cantico dell'agnello	1QmZMVhnlmO4Vctums7QFQD6QdlidJ6Qen1_RKxv7wJw
vangelo	Lode a te o Cristo v1	1z8NYz5kRPB5yNS5LOEyRrq82kfKtJJ2t5Jr2NoNfnf0
vangelo	Lode a te o Cristo v2	1bXTD0ZB4vRiQFUxboP3AdDud4-9xzgGZgi8RoVa9hJk
offertorio	Antica eterna danza	1F789wyTec6PbiOFcx5VABaxj4-8VmkjV5mp3ymm8Qpc
offertorio	Astro del ciel	1PLpXeIFaOdBXA4T8yZfSrX6MVhSKB_zH1mziLjdhdNc
offertorio	Benedetto sei Tu Signore	1-2LUoGwdgzwRDJ-J03zKieBwnqO8LnFy9N-bBZ_km24
offertorio	Chiamati per nome	1u-vSoaBQiThl-pOylLAMY6P3Onwqw0aE9i9m3d4a2zw
offertorio	Come Maria	1hBVdiljSUtcodVaLJDoE1-Ox7--TDmb0aYOWHJmlkXQ
offertorio	Frutto della nostra terra	1mf59jnXGMrraL49rTcWZHzPHoMRVZ2ADfomBeyD-2uY
offertorio	Guarda questa offerta	1XBLglCfWvcvQ6fTQWTFeAhY_mphC66HcwD4C8Fy6Fhw
offertorio	Il Signore è il mio pastore	1kCfJqS_wTNJYzfm53kmciAzxVD9YJxiuFdjwp8XejvY
offertorio	Scusa Signore	1op1JI6PQOQ9XQdLAnKWq1d10V5Q5Xa4Fc3_MAKtqkqA
offertorio	Se m'accogli	13u5ssclY-29pfvtG6VeCerFzPX7g6QoFKih39VWvSyI
offertorio	Servo per amore	1RkrmIu8JGVBdWu4T8a6Ee3c99GsahM5-dYgFRs6TS1s
offertorio	Trasformi in Gesù	1EYOTqNvmACAzVIE3nhv2C0yWMhTbTXsshuHKRTSjzUg
offertorio	Tu al centro del mio cuore	1bcvN52WbpMYcSfHh9g_m4SiFfdkd1px-d0AzBuitcFs
santo	Santo Buttazzo	1Y20IE-HGifWN73sVUxMyEomBL3mT4O5xPvKLsMVGJng
santo	Santo Osanna eh	1ttLaRtNMg6tuecn60wZEyYpadzqZj-qoWhc0p2n2Lkg
santo	Santo Tradizionale	1W2-cUqATwuoBomCVwwSuObIydGv6P0os6wuk9ZfZzIU
comunione	Al Signore canterò	1wY0rdPcpMK9KrFsKw604e0UvIMFmZHmPStg7SBfQOQE
comunione	Alto e glorioso Dio	1YHkIrAwyjJL4JctcA0jU9ThG3hjtLlP2HSpgUfiMXyU
comunione	Cantico di Mosè	1BuQUM779LC9EcuCx---a4OccT1CGfahwPx7lEQYeVTA
comunione	Dio ha tanto amato il mondo	1PbE1X_UtFRl1HnRGK4wlbZXwx4UEOaQZTokw41VhGZY
comunione	Dolce è sentire	1TTDvyPnp15_8ei7evf1bKq2OsBmu7NmkWREOBGqil5Q
comunione	E sono solo un uomo	1RSB5SX418GeAA1hmQAlVaU_VtlTvmPDEC2BwGD6kWhI
comunione	Gesù e la samaritana	1OkD0VdPAhhBlbT_N8RU1J1PROv-hzlC8TUDk0U-N9s8
comunione	Il disegno	1ES1Y2P3SHfDDlj1lf2IUtPNkpSVxSPqszWaae2c7EHI
comunione	In notte placida	1E5e3YkUQo-rZGdRxCwLqPdnNlfzcpaawgZcWPuXQkZw
comunione	Innalzerò la coppa di salvezza	17RqZTMlaKDL5KUxuEzEHw8LaRN2qfcQt9TYd40OrvjY
comunione	Innalziamo lo sguardo	18Lk7Y3yy-gnJCLQKXYCRBr0X0Yb4iiaVn64J-enuTYk
comunione	La mia Pasqua è il Signore	1gOda2qZyqDdOMX9JOu85IAFJOK-3u1k-jqz7PhDuPTA
comunione	Pane del Cielo	1WO_d9UkOYzRh7GJyZyZXGEMejXtKHXTgJ7WTmpbjxxI
comunione	Perché Tu sei qui con me	1iZs_ZGoVcyIbZOZ7IvtKrGrdDyQMpTtnyZ8dZMNtKUI
comunione	Resta qui con noi	1jGWp70FTsXtgsgAmCtxcDGzwkqsJu9sUjDS-Bl4aCF4
comunione	Silenzioso Dio	1k7ZGllaK78JjXLI4FCOMWRZo3InWNxr1EF56N2tzXXQ
comunione	Symbolum 77	1mvU7PoaUmUrV2fLdipnt5lsyn1b3ubZIXFnQh7d6p4c
comunione	Unico maestro	12brY1k6-iSJelJz4T5fr7S8AsRk0GFjonAZ-OHhdepk
comunione	Viaggio nella vita	1ZwXvf2ZaTV0WURc4KRgxt73O3bxF4FvCUv3-Dg4ke9U
comunione	Viene in mezzo a noi	1H-5pn2kodOTng5wPm4FDmS0wv4t58WiyGde8DCWo7iE
comunione	Vocazione	1Ixutnbto_AG5R1vcjhlEPqDQxkR46BF98opo95uj20Y
finale	Ave Maria Medjugorie	1cUtMKj7p-BltnRLUGN3JWmp0p92f6ghIKGRQKyJR82E
finale	Dell'aurora tu sorgi più bella	1h2VrnrPqZKf3qLlsZHzK0pgqef4UJaW3ktE5ULx8ogE
finale	Esci dalla tua terra	1pwTDUOgh2TNk4Id0sjwv8H6SW4L_LZLr4OpRMwwKsMI
finale	Inno al Beato Stefano	14J_lkfXxKfu1yE6BBJUWqq7jahFVOVX1MvYG_2R0mFk
finale	Io ho un amico che mi ama	1WWWFEgxr2_rcHPRheoklnLExIRN1PI-P98FOVn5eZgw
finale	Madre io vorrei	1yp1qelAwfDunxkeWz1mcwu10GJouH8nY4JlIWTYcq-I
finale	Pace a te fratello mio	1iHaq8xncq3JTYpNN9enC5zt4kFYv7tvww1qYYQExmJc
finale	Santa Maria del cammino	1vuiuUbn1CvxrdgxuBoa1f51xZaJwjk2Sp32iWJ7aeJo
finale	Ti esalto Dio mio re	1wgdhZ0WWopfrvgPZpDhY_0lF0yhgvbhulrxWfZ-KoRs
finale	Ti ringrazio	1bo7mBQmJkx2oAKEfeKwrrq6ZuLKOS84oVnhiBlFes8A
finale	Tu scendi dalle stelle	1g7kbl-cAeMPkjiCgP_13ZOMmMcx-MPL7V-IJcAaCuog
finale	Vergine Santa nostro orgoglio	1QtuTm7oGUcRUKR2uodOiKkYlymSxlkD8zfC2QZ1IOlw
